0 021, 1 024, 2 066, 4 062, 6 05c, 8 04f, 10 049, 12 035, 14 026, 16 023, 18 02c, 20 02e, 22 03f, 24 040, 26 029, 28 034, 30 030, 32 034, 34 03b
0 047, 1 04d, 2 046, 4 041, 6 03d, 8 03a, 10 03a, 12 036, 14 03a, 16 040, 18 042, 20 047, 22 04e, 24 052, 26 052, 28 053, 30 052, 32 04c, 34 044
0 027, 1 028, 2 03f, 4 02f, 6 02a, 8 021, 10 01c, 12 02d, 14 03c, 16 040, 18 041, 20 03b, 22 035, 24 033, 26 031, 28 039, 30 03c, 32 03c, 34 040
0 044, 1 019, 2 05f, 4 04f, 6 041, 8 033, 10 032, 12 02d, 14 031, 16 032, 18 02d, 20 02d, 22 034, 24 037, 26 037, 28 047, 30 052, 32 062, 34 080
0 052, 1 067, 2 0d0, 4 0c9, 6 0c2, 8 0b6, 10 0a0, 12 0a7, 14 093, 16 07c, 18 068, 20 04f, 22 03d, 24 038, 26 031, 28 043, 30 05e, 32 071, 34 07c
0 021, 1 028, 2 05f, 4 060, 6 058, 8 04e, 10 043, 12 04e, 14 048, 16 03a, 18 03a, 20 032, 22 02e, 24 02e, 26 034, 28 030, 30 032, 32 039, 34 050
0 04b, 1 041, 2 052, 4 052, 6 053, 8 055, 10 046, 12 05b, 14 062, 16 061, 18 060, 20 051, 22 04b, 24 040, 26 03d, 28 046, 30 06b, 32 08c, 34 0ad
0 082, 1 058, 2 090, 4 080, 6 065, 8 047, 10 03e, 12 034, 14 03d, 16 048, 18 051, 20 060, 22 069, 24 06f, 26 073, 28 071, 30 06c, 32 062, 34 059
0 039, 1 02d, 2 075, 4 06e, 6 064, 8 05b, 10 056, 12 045, 14 036, 16 02c, 18 030, 20 01d, 22 01f, 24 022, 26 01b, 28 01f, 30 01c, 32 01f, 34 01d
0 01e, 1 034, 2 02a, 4 038, 6 052, 8 06d, 10 078, 12 07f, 14 07c, 16 073, 18 056, 20 03b, 22 02a, 24 020, 26 029, 28 020, 30 024, 32 027, 34 024
0 018, 1 011, 2 01b, 4 01a, 6 017, 8 012, 10 01d, 12 014, 14 021, 16 01e, 18 029, 20 01d, 22 021, 24 01f, 26 01e, 28 015, 30 019, 32 01c, 34 01c
0 043, 1 035, 2 02e, 4 02c, 6 03e, 8 041, 10 035, 12 034, 14 02b, 16 025, 18 026, 20 035, 22 045, 24 053, 26 058, 28 05c, 30 059, 32 04d, 34 050
0 08d, 1 03a, 2 06a, 4 060, 6 05d, 8 049, 10 03a, 12 03f, 14 035, 16 034, 18 03a, 20 03d, 22 04d, 24 068, 26 07f, 28 08e, 30 0a3, 32 0c8, 34 0ec
0 063, 1 03c, 2 083, 4 077, 6 069, 8 061, 10 05e, 12 04a, 14 034, 16 02b, 18 03a, 20 039, 22 042, 24 04d, 26 04b, 28 050, 30 04d, 32 045, 34 045
0 030, 1 037, 2 04e, 4 03f, 6 02f, 8 029, 10 023, 12 03c, 14 056, 16 05d, 18 06f, 20 066, 22 05d, 24 053, 26 036, 28 03a, 30 02d, 32 02c, 34 02d
0 07b, 1 0bc, 2 068, 4 04d, 6 04c, 8 040, 10 039, 12 04b, 14 077, 16 0ab, 18 0e3, 20 0fc, 22 125, 24 139, 26 120, 28 13d, 30 13b, 32 13a, 34 138
0 067, 1 06b, 2 0a4, 4 0a6, 6 0a5, 8 083, 10 06b, 12 05f, 14 078, 16 09f, 18 0b6, 20 0bc, 22 0d3, 24 0e1, 26 0b3, 28 0de, 30 0de, 32 0dd, 34 0da
0 060, 1 019, 2 05b, 4 04d, 6 043, 8 03a, 10 043, 12 02a, 14 01f, 16 026, 18 038, 20 02b, 22 026, 24 023, 26 020, 28 028, 30 03d, 32 05c, 34 08d
0 05f, 1 076, 2 08c, 4 08b, 6 088, 8 081, 10 069, 12 077, 14 06e, 16 05a, 18 051, 20 05d, 22 06a, 24 078, 26 081, 28 08c, 30 095, 32 09b, 34 0a2
0 033, 1 031, 2 02c, 4 02e, 6 02b, 8 02a, 10 034, 12 030, 14 030, 16 033, 18 033, 20 037, 22 039, 24 03b, 26 03f, 28 03e, 30 03d, 32 039, 34 032
0 01f, 1 025, 2 03b, 4 027, 6 01a, 8 00e, 10 020, 12 027, 14 030, 16 02e, 18 032, 20 02b, 22 026, 24 027, 26 023, 28 027, 30 023, 32 023, 34 027
0 034, 1 026, 2 048, 4 03b, 6 029, 8 01b, 10 02a, 12 01c, 14 025, 16 02d, 18 02d, 20 02f, 22 032, 24 036, 26 03e, 28 03d, 30 040, 32 041, 34 043
0 022, 1 01c, 2 038, 4 035, 6 02d, 8 029, 10 02e, 12 027, 14 029, 16 02a, 18 02d, 20 01a, 22 017, 24 01a, 26 016, 28 01b, 30 01a, 32 018, 34 019
0 01d, 1 01c, 2 037, 4 02e, 6 02b, 8 02b, 10 02c, 12 026, 14 01c, 16 01b, 18 01a, 20 01d, 22 01d, 24 01f, 26 023, 28 01f, 30 020, 32 01f, 34 020
