0 1b7, 1 2c5, 2 16f, 4 125, 6 0be, 8 157, 10 214, 12 20c, 14 2ce, 16 34b, 18 369, 20 2fc, 22 31d, 24 331, 26 32d, 28 326, 30 2e4, 32 290, 34 1fc
0 058, 1 0b3, 2 085, 4 077, 6 06e, 8 063, 10 06e, 12 092, 14 100, 16 153, 18 1e2, 20 1f9, 22 21c, 24 1cf, 26 104, 28 139, 30 0da, 32 09a, 34 06c
0 204, 1 1fe, 2 4b2, 4 3b6, 6 2d6, 8 1ba, 10 12c, 12 123, 14 21b, 16 269, 18 268, 20 241, 22 202, 24 202, 26 1d4, 28 202, 30 202, 32 202, 34 202
0 231, 1 261, 2 48b, 4 420, 6 361, 8 26e, 10 1e7, 12 1d4, 14 1ae, 16 19a, 18 1f8, 20 217, 22 247, 24 23b, 26 1d5, 28 23b, 30 23b, 32 23b, 34 23b
0 247, 1 288, 2 3b6, 4 343, 6 314, 8 26d, 10 2d8, 12 275, 14 308, 16 38c, 18 441, 20 378, 22 300, 24 281, 26 18e, 28 25e, 30 2ef, 32 3bb, 34 3ff
0 21c, 1 1db, 2 224, 4 238, 6 24c, 8 243, 10 1ef, 12 230, 14 213, 16 210, 18 27d, 20 218, 22 2d2, 24 36f, 26 39c, 28 2cc, 30 241, 32 24d, 34 2a8
0 209, 1 229, 2 385, 4 35c, 6 2f8, 8 22b, 10 1b1, 12 1db, 14 1c6, 16 1ec, 18 23b, 20 225, 22 237, 24 23d, 26 217, 28 23d, 30 23d, 32 23d, 34 23d
0 12d, 1 172, 2 293, 4 2a6, 6 255, 8 1b0, 10 163, 12 197, 14 20e, 16 1e0, 18 1da, 20 1a9, 22 161, 24 163, 26 136, 28 163, 30 163, 32 163, 34 163
0 390, 1 34d, 2 42d, 4 41a, 6 3f1, 8 3cf, 10 39d, 12 392, 14 37b, 16 370, 18 327, 20 306, 22 2f9, 24 2e7, 26 30c, 28 359, 30 39b, 32 38c, 34 329
0 254, 1 26d, 2 39d, 4 323, 6 2f1, 8 2fe, 10 361, 12 29b, 14 23e, 16 248, 18 283, 20 2e3, 22 304, 24 35c, 26 337, 28 385, 30 34d, 32 31f, 34 2f2
0 115, 1 239, 2 09e, 4 098, 6 090, 8 071, 10 043, 12 0fb, 14 1a6, 16 21e, 18 363, 20 3cc, 22 3fc, 24 40d, 26 37a, 28 37b, 30 2c3, 32 292, 34 2e1
0 128, 1 1dd, 2 0c9, 4 0bf, 6 0b1, 8 08e, 10 05f, 12 10d, 14 18e, 16 1f0, 18 251, 20 260, 22 2e3, 24 347, 26 3aa, 28 36a, 30 36d, 32 372, 34 377
0 021, 1 030, 2 027, 4 024, 6 020, 8 01a, 10 017, 12 019, 14 024, 16 030, 18 03a, 20 03a, 22 03b, 24 03f, 26 03b, 28 03a, 30 037, 32 039, 34 03d
0 041, 1 02c, 2 037, 4 035, 6 038, 8 032, 10 03b, 12 028, 14 029, 16 032, 18 03a, 20 03d, 22 04d, 24 05b, 26 059, 28 063, 30 06f, 32 078, 34 07c
0 261, 1 1a4, 2 08a, 4 089, 6 086, 8 07b, 10 03c, 12 11b, 14 1a6, 16 1ef, 18 273, 20 27d, 22 2d7, 24 319, 26 379, 28 377, 30 43d, 32 4b8, 34 472
0 0de, 1 1a3, 2 08f, 4 086, 6 078, 8 057, 10 052, 12 0e6, 14 1cb, 16 28b, 18 38f, 20 419, 22 43a, 24 3af, 26 2ac, 28 2d6, 30 222, 32 184, 34 133
0 03d, 1 031, 2 034, 4 032, 6 02f, 8 02c, 10 02a, 12 026, 14 02d, 16 033, 18 037, 20 03d, 22 03e, 24 03e, 26 03c, 28 03f, 30 042, 32 048, 34 04e
